,Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $),Gross national income per capita (PPP int. $)
South Africa, 12 240,11970,11640,11200,10850,10960,10490,9960,9270,8650,8090,7820,7530,7370,7090,7000,7070,6930,6690,6500,6280,6180,6280,6190
South Sudan, 2 190,1750,3200,2600,2970,2400,,,,,,,,,,,,,,,,,,
Spain, 31 850,31140,31090,30900,31350,31990,31190,29700,26850,25460,24380,23640,22220,21160,19640,18710,17530,16550,15880,14980,14550,14350,13960,13200
Sri Lanka, 9 470,8830,8020,7330,6780,6490,6140,5640,5140,4750,4450,4150,3950,3850,3560,3430,3290,3070,2940,2790,2630,2430,2280,2150
Sudan, 2 370,3220,3210,2970,2960,2950,2880,2610,2340,2160,2080,1980,1880,1790,1720,1710,1670,1510,1400,1330,1290,1210,1120,1110
Suriname, 15 860,14840,14470,13730,13260,12920,12390,11390,10600,9740,8830,8260,7390,7810,7200,7750,7660,7300,7130,6940,,7080,6990,6700
Swaziland, 6 220,6020,5970,6240,6150,6270,6200,5870,5940,5300,4930,4870,5100,4730,4770,4560,4680,4580,4280,3850,3930,3910,3770,3660
Sweden, 44 760,43090,42700,40460,38320,41000,39300,36200,32940,32470,30810,29160,28060,27750,25740,24060,22980,22150,21330,20180,18840,19010,19150,19010
Switzerland, 56 580,53920,51770,51670,48380,44740,45060,44320,40370,38360,37080,35710,34820,34890,32640,31870,30830,28970,28170,27410,26940,26470,26250,25940
Tajikistan, 2 500,2340,2200,2040,1940,1900,1750,1590,1480,1370,1210,1100,990,900,840,810,770,720,890,1020,1310,1570,2210,2350
Thailand, 13 510,13420,12340,12030,11100,11330,10850,10050,9250,8660,8030,7480,7140,6980,6520,6180,6970,7050,6640,6010,5440,4910,4510,4070
The former Yugoslav republic of Macedonia, 11 520,11520,11540,11210,10920,10360,8810,8530,7540,6800,6200,5810,5660,5710,5360,5160,4970,4870,4760,4690,4610,4790,5110,5220
Timor-Leste, 6 410,7690,8290,6320,5100,6900,4400,3110,1980,1590,1440,1630,1930,1640,,,,,,,,,,
Togo, 1 180,1140,1080,1060,1060,1040,1140,1110,1060,1040,1020,980,990,1010,1020,1020,1050,930,850,770,700,820,860,860
Tonga, 5 450,5370,5210,4940,4790,4640,4550,4620,4510,4350,4200,4100,3870,3700,3590,3450,3280,3240,3180,3090,2780,2630,2590,2370
Trinidad and Tobago, 26 210,25480,24990,27250,26950,28380,27040,25110,21610,20240,17780,15430,14010,12980,12220,11590,10550,9860,9370,8900,8570,8450,8440,8040
Tunisia, 10 960,10470,9720,9660,9340,8940,8500,7940,7320,6980,6500,6070,5940,5620,5330,5020,4780,4480,4190,4030,3870,3840,3570,3420
Turkey, 18 760,18020,17820,16040,14520,15000,13870,12890,11390,10150,8760,8630,8520,9180,8190,8630,6190,5730,5310,4890,5200,4770,4470,4360
Turkmenistan, 12 920,11040,10060,9000,8450,8080,7180,6370,5400,4950,4640,4390,4350,3990,3970,3450,3300,3630,3400,3780,4460,,,
Tuvalu, 5 990,5160,5120,5060,5620,5440,5430,4630,4570,4590,4130,5900,4760,,,,,,,,,,,
Uganda, 1 370,1320,1310,1240,1200,1150,1070,990,890,840,800,760,710,690,680,650,630,600,560,500,480,440,440,410
Ukraine, 8 960,8670,8170,7590,7130,8370,7930,7110,6410,6000,5170,4590,4240,3710,3400,3350,3370,3390,3650,4080,5070,5910,6560,6960
United Arab Emirates,,58090,56390,56260,60590,71660,81540,90460,93410,96800,92890,88250,90860,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland, 35 760,34640,35270,34510,35260,37110,36480,35620,33820,32430,30450,29390,27950,26280,24320,23830,22730,21150,19910,18990,17620,16710,16060,15770
United Republic of Tanzania, 1 750,1650,1580,1500,1420,1370,1290,1210,1120,1050,970,920,860,820,780,750,730,720,680,660,650,650,660,640
United States of America, 53 960,52620,50860,48880,47240,48650,48420,47390,44740,42260,39960,38590,37860,36930,34850,33230,31620,29980,28550,27350,26000,25180,24180,23730
Uruguay, 18 930,17980,17040,15550,14290,13960,12920,11840,10980,9760,9060,9240,9770,9960,9970,10010,9540,8650,8090,8080,7440,7120,6460,6000
Uzbekistan, 5 340,4920,4590,4230,3950,3810,3420,2950,2710,2470,2240,2130,2030,1940,1860,1780,1710,1640,1620,1630,1710,1750,,
Vanuatu, 2 840,2780,2820,2780,2750,2790,2510,2400,2160,2070,1990,1930,2110,2120,2050,2030,1800,1740,1750,1630,1670,1540,1550,1680
Venezuela (Bolivarian Republic of), 17 890,17480,16580,15960,16350,17250,16510,14780,13150,11550,9720,10500,11710,11340,10870,11470,11520,10910,10950,10460,10770,10720,10300,9260
Viet Nam, 5 030,4780,4510,4230,3950,3810,3580,3310,3050,2780,2560,2370,2230,2070,1930,1830,1740,1610,1480,1320,1190,1100,990,910
Yemen, 3 820,3690,3490,4200,4190,4000,3900,3710,3460,3260,3170,3120,3060,2930,2740,2780,2580,2500,2550,2530,2430,2390,2250,2210
Zambia, 3 070,2990,2710,2500,2490,2250,2050,1990,1910,1830,1810,1720,1670,1590,1540,1490,1560,1520,1430,1470,1600,1460,1470,1500
Zimbabwe, 1 560,1570,1490,1370,1270,1110,1380,1410,1430,1470,1540,1820,1960,1890,1930,1930,1910,1880,1680,1680,1550,1520,1680,1590
