incidence_tb,incidence_tb_HIV,incidence_tb_100000,incidence_tb_HIV_100000
55 000 ,110 ,681 ,1.4 
71 ,22 ,18 ,5.7 
58 ,17 ,15 ,4.3 
38 ,11 ,10 ,2.8 
37 ,11 ,9.9 ,2.8 
47 ,15 ,13 ,4.2 
36 ,13 ,9.9 ,3.7 
52 ,19 ,15 ,5.5 
56 ,20 ,16 ,5.8 
53 ,20 ,15 ,5.8 
69 ,27 ,21 ,7.9 
55 ,21 ,17 ,6.5 
61 ,23 ,19 ,7.3 
44 ,16 ,14 ,5.1 
51 ,19 ,16 ,6.1 
69 ,26 ,23 ,8.5 
94 ,35 ,32 ,12 
250 ,12 ,18 ,0.84 
240 ,11 ,18 ,0.84 
240 ,11 ,18 ,0.84 
260 ,12 ,19 ,0.92 
260 ,12 ,20 ,0.94 
280 ,11 ,22 ,0.84 
370 ,12 ,31 ,0.98 
350 ,11 ,31 ,1 
340 ,12 ,33 ,1.1 
320 ,12 ,34 ,1.2 
320 ,11 ,37 ,1.3 
280 ,9 ,35 ,1.2 
300 ,,39 ,
220 ,,30 ,
220 ,,31 ,
240 ,,36 ,
362 000 ,630 ,225 ,0.39 
362 000 ,640 ,227 ,0.4 
352 000 ,620 ,224 ,0.39 
349 000 ,600 ,225 ,0.39 
345 000 ,580 ,225 ,0.38 
341 000 ,540 ,225 ,0.36 
337 000 ,500 ,225 ,0.34 
333 000 ,460 ,225 ,0.31 
329 000 ,410 ,225 ,0.28 
326 000 ,350 ,225 ,0.24 
321 000 ,300 ,225 ,0.21 
317 000 ,240 ,225 ,0.17 
312 000 ,190 ,225 ,0.14 
306 000 ,150 ,225 ,0.11 
301 000 ,100 ,225 ,0.08 
295 000 ,74 ,225 ,0.06 
0 ,0 ,0,0
6 ,3 ,2.0 ,1.2 
5 ,5 ,1.6 ,1.6 
5 ,5 ,1.6 ,1.6 
0 ,0 ,0,0
7 ,0 ,2.5 ,0.16 
2 ,0 ,0.8 ,0.01 
3 ,2 ,1.2 ,0.83 
18 ,14 ,6.7 ,5 
6 ,2 ,2.1 ,0.69 
14 ,4 ,5.0 ,1.6 
22 ,6 ,8.0 ,2.3 
14 ,4 ,5.1 ,1.4 
6 ,1 ,2.1 ,0.53 
7 ,2 ,2.5 ,0.59 
3 ,1 ,1.3 ,0.28 
5 200 ,300 ,55 ,3.2 
5 500 ,310 ,58 ,3.3 
5 800 ,300 ,61 ,3.2 
6 100 ,270 ,64 ,2.9 
6 300 ,260 ,67 ,2.7 
6 500 ,250 ,69 ,2.6 
6 700 ,230 ,70 ,2.4 
6 800 ,210 ,72 ,2.2 
6 900 ,170 ,73 ,1.8 
7 000 ,140 ,73 ,1.5 
7 100 ,110 ,74 ,1.2 
7 100 ,85 ,73 ,0.87 
7 400 ,76 ,76 ,0.78 
7 800 ,67 ,79 ,0.68 
8 100 ,56 ,82 ,0.57 
8 300 ,44 ,83 ,0.45 
1 100 ,84 ,9.4 ,0.74 
1 000 ,80 ,9.1 ,0.71 
1 000 ,76 ,9.3 ,0.68 
1 000 ,70 ,9.4 ,0.63 
1 100 ,68 ,10 ,0.62 
1 200 ,64 ,11 ,0.59 
1 100 ,59 ,9.7 ,0.54 
1 100 ,61 ,10 ,0.57 
1 100 ,64 ,10 ,0.6 
1 200 ,71 ,11 ,0.67 
1 200 ,76 ,12 ,0.72 
1 300 ,85 ,12 ,0.81 
1 200 ,76 ,12 ,0.73 
1 400 ,83 ,13 ,0.8 
1 500 ,87 ,15 ,0.84 
1 500 ,80 ,14 ,0.78 
90 ,21 ,25 ,5.8 
83 ,21 ,24 ,6 
140 ,37 ,40 ,11 
97 ,26 ,29 ,7.7 
85 ,22 ,26 ,6.6 
170 ,41 ,52 ,13 
100 ,21 ,32 ,6.7 
100 ,17 ,33 ,5.7 
72 ,12 ,24 ,3.9 
98 ,16 ,34 ,5.6 
120 ,19 ,41 ,6.7 
95 ,15 ,35 ,5.3 
110 ,16 ,42 ,6 
160 ,20 ,59 ,7.7 
160 ,18 ,61 ,6.9 
120 ,11 ,49 ,4.6 
6 600 ,1 000 ,60 ,9.2 
6 500 ,1 000 ,61 ,9.6 
6 600 ,1 000 ,64 ,10 
6 600 ,1 100 ,66 ,11 
6 600 ,1 100 ,67 ,11 
6 500 ,1 100 ,68 ,11 
6 400 ,1 100 ,69 ,11 
6 200 ,1 000 ,69 ,11 
6 000 ,940 ,69 ,11 
6 000 ,880 ,71 ,10 
6 000 ,890 ,73 ,11 
5 900 ,910 ,75 ,11 
5 900 ,920 ,78 ,12 
6 000 ,930 ,80 ,13 
6 000 ,930 ,83 ,13 
6 000 ,920 ,86 ,13 
1 200 ,110 ,155 ,14 
1 300 ,110 ,174 ,15 
1 400 ,110 ,179 ,15 
1 400 ,110 ,190 ,15 
1 500 ,110 ,211 ,16 
1 600 ,110 ,228 ,16 
1 400 ,91 ,199 ,13 
1 200 ,72 ,173 ,10 
1 200 ,68 ,183 ,10 
1 100 ,56 ,172 ,8.4 
1 300 ,54 ,193 ,8.4 
1 200 ,46 ,195 ,7.3 
1 300 ,41 ,208 ,6.6 
1 400 ,35 ,227 ,5.9 
1 300 ,26 ,223 ,4.5 
1 400 ,21 ,253 ,3.7 
13 000 ,550 ,117 ,5.1 
13 000 ,520 ,120 ,5 
13 000 ,370 ,123 ,3.5 
13 000 ,420 ,127 ,4.1 
13 000 ,430 ,131 ,4.2 
13 000 ,430 ,135 ,4.3 
14 000 ,430 ,139 ,4.4 
14 000 ,430 ,144 ,4.5 
14 000 ,430 ,148 ,4.6 
14 000 ,440 ,153 ,4.7 
14 000 ,440 ,158 ,4.9 
15 000 ,450 ,163 ,5.1 
15 000 ,470 ,168 ,5.3 
15 000 ,480 ,173 ,5.6 
15 000 ,500 ,179 ,5.9 
15 000 ,520 ,184 ,6.2 
1 400 ,4 ,37 ,0.1 
1 600 ,4 ,42 ,0.11 
1 800 ,4 ,47 ,0.11 
2 000 ,4 ,51 ,0.11 
2 100 ,4 ,55 ,0.11 
2 300 ,4 ,59 ,0.11 
2 400 ,4 ,63 ,0.11 
2 500 ,4 ,66 ,0.11 
2 700 ,4 ,69 ,0.11 
2 800 ,4 ,72 ,0.1 
2 900 ,4 ,75 ,0.1 
3 000 ,4 ,78 ,0.09 
3 100 ,3 ,81 ,0.09 
3 200 ,3 ,85 ,0.09 
3 400 ,3 ,90 ,0.09 
3 600 ,3 ,96 ,0.09 
8 000 ,4 800 ,356 ,213 
8 500 ,5 100 ,385 ,229 
9 000 ,5 400 ,414 ,248 
9 500 ,5 800 ,445 ,271 
10 000 ,6 300 ,480 ,301 
11 000 ,6 900 ,518 ,335 
11 000 ,7 400 ,557 ,369 
12 000 ,7 900 ,598 ,403 
12 000 ,8 500 ,641 ,441 
13 000 ,9 200 ,684 ,483 
14 000 ,9 600 ,728 ,515 
14 000 ,10 000 ,773 ,547 
15 000 ,10 000 ,816 ,578 
15 000 ,11 000 ,855 ,607 
16 000 ,11 000 ,888 ,631 
16 000 ,11 000 ,914 ,648 
84 000 ,13 000 ,41 ,6.3 
85 000 ,13 000 ,41 ,6.5 
87 000 ,14 000 ,43 ,7 
86 000 ,14 000 ,43 ,7.1 
89 000 ,15 000 ,45 ,7.6 
86 000 ,16 000 ,43 ,7.9 
90 000 ,18 000 ,46 ,9 
84 000 ,16 000 ,43 ,8.3 
86 000 ,15 000 ,45 ,7.9 
89 000 ,15 000 ,47 ,7.7 
93 000 ,15 000 ,49 ,8.1 
100 000 ,17 000 ,54 ,9.1 
97 000 ,17 000 ,53 ,9.5 
94 000 ,16 000 ,52 ,9.1 
86 000 ,15 000 ,48 ,8.2 
90 000 ,15 000 ,51 ,8.4 
240 ,1 ,58 ,0.15 
230 ,0 ,55 ,0.12 
240 ,1 ,59 ,0.15 
280 ,1 ,69 ,0.3 
260 ,2 ,66 ,0.61 
270 ,2 ,69 ,0.6 
240 ,1 ,63 ,0.27 
260 ,0 ,67 ,0.11 
240 ,0 ,64 ,0.11 
230 ,1 ,63 ,0.14 
190 ,1 ,52 ,0.21 
210 ,2 ,60 ,0.57 
240 ,2 ,69 ,0.54 
260 ,2 ,77 ,0.46 
250 ,1 ,74 ,0.3 
350 ,1 ,107 ,0.44 
1 700 ,4 ,24 ,0.05 
1 900 ,4 ,27 ,0.06 
2 100 ,6 ,29 ,0.08 
2 300 ,5 ,32 ,0.06 
2 500 ,7 ,34 ,0.1 
2 800 ,3 ,38 ,0.04 
3 100 ,3 ,41 ,0.04 
3 400 ,3 ,45 ,0.04 
3 700 ,3 ,48 ,0.04 
3 900 ,3 ,51 ,0.04 
4 100 ,3 ,54 ,0.04 
4 300 ,3 ,55 ,0.03 
4 400 ,3 ,56 ,0.03 
